Period Date,Indus at Tarbela Levels(feet),Indus at Tarbela Inflow,Indus at Tarbela Outflow,Kabul Inflow at Nowshera,Jehlum at Mangla Levels(feet),Jehlum at Mangla Inflow,Jehlum at Mangla Outflow,Chenab Inflow at Marala,System Inflows Current Year,System Inflows Last Year,System Inflows This Decade
7/21/2018,1455.03,231,108.6,66.3,1131.1,33.4,10,82.4,413.1,431.7,420
7/22/2018,1461.88,249.6,110.2,63,1132.5,33.4,10,81.4,427.4,416.5,412.7
7/23/2018,1469.52,259.1,100,61.2,1134.65,46,10,82.9,449.2,415.8,410.1
7/24/2018,1477.78,276.3,100,89.3,1136.95,48.5,10,87.6,501.7,420.9,410.3
7/25/2018,1486.8,279.6,80,89.5,1139.45,51.8,10,89.4,510.3,425.8,403.5
7/26/2018,1495.27,271.3,80,72.6,1141.5,47.5,10,96.2,487.6,414.2,402.1
7/27/2018,1503.59,277,80,78.1,1144,57.2,10,97.3,509.6,412.1,427.3
7/28/2018,1508.59,277.6,155.3,78.9,1145.9,45.9,10,80.7,483.1,416.4,440.7
7/29/2018,1511.59,256.9,182,73.9,1147.6,42.1,10,68.6,441.5,430.3,472
7/30/2018,1515.59,215.3,113.7,65.7,1148.9,34.5,10,63.3,378.8,442,523
7/31/2018,1517.44,182,135,58,1148,30.9,30,57.4,328.3,511.7,502.8
8/1/2018,1518.62,165,135,49.1,1148.85,28.1,30,63.4,305.6,534.9,470.1
8/2/2018,1519,160,150,42,1149.7,29.4,13.3,59.4,290.8,562.3,462.5
8/3/2018,1519.2,160.4,155,39,1150.6,28.4,10,59.8,287.6,604.2,463.1
8/4/2018,1519.12,163.3,165,36.8,1151.45,28.1,10,58.8,287,531.8,460.4
8/5/2018,1519.18,166.8,165,37.8,1152.2,25.9,10,66.9,297.4,518.4,464.9
8/6/2018,1519.75,184.8,170,37.5,1153,27,10,77,326.3,488.4,459.5
8/7/2018,1521.44,214.8,170,38,1154.25,36.6,10,98.1,387.5,465.6,463.6
8/8/2018,1524.93,242.7,150,43.8,1157.25,73.8,10,120.3,480.6,458.8,478.2
8/9/2018,1529.23,254.1,140,58.6,1158.4,34.5,10,117.6,464.8,456.1,468.1
8/10/2018,1531.23,257.1,202.4,63.9,1159.7,37.6,10,89.8,448.4,460.6,467.3
8/11/2018,1533.29,259.9,204.3,52.7,1160.8,35.2,10,87.9,435.7,451.5,453.7
8/12/2018,1535.23,253.3,197.4,52,1161.75,32.3,10,87.8,425.4,424,446
8/13/2018,1537.23,262.2,206.3,48.6,1162.9,37.1,10,111.1,459,410.5,450
8/14/2018,1539.23,281.2,225.3,49,1164.9,57,10,177.3,564.5,379.7,447.5
8/15/2018,1541.23,270.7,214,51.5,1166.35,44.1,10,96.3,462.6,366.9,459.2
8/16/2018,1543.23,240.3,182.6,47.1,1167.25,31.2,10,75.7,394.3,338.6,443
8/17/2018,1545.23,214.8,157.1,43.4,1168.2,32.3,10,69.1,359.6,290.2,405
8/18/2018,1547,210.2,159,41.7,1169,28.8,10,71.3,352,261.8,368.4
8/19/2018,1548.5,221.6,178,41.3,1170,33.5,10,79.6,376,258.8,343.3
8/20/2018,1550,224.8,181.1,45.8,1170.75,29.3,10,74.3,374.2,267.9,334.4
8/21/2018,1150,210.4,209.9,41,1171.35,25.5,10,79.6,356.5,270.6,329.2
8/22/2018,1550,206.6,206.1,37,1172.1,29.3,10,78.4,351.3,261.4,325
8/23/2018,1550,225.1,224.8,37.1,1172.8,28,10,75.1,365.3,258,327.1
8/24/2018,1550,230.5,230.2,40.7,1173.4,25.4,10,78.5,375.1,262.4,316.4
8/25/2018,1550,234.5,234.2,40.5,1174,25.4,10,78.5,378.9,280.4,318.3
8/26/2018,1550,233,232.7,38.3,1174.7,28,10,68,367.3,295.5,314.9
8/27/2018,1550,210.3,210,36.9,1175.3,25.4,10,69,341.6,271.4,305.2
8/28/2018,1550,189.8,189.5,35.3,1175.75,21.6,10,53.8,300.5,234.9,293.2
8/29/2018,1550,161.8,161.5,31.7,1176,16.4,10,58.4,268.3,217.8,288.5
8/30/2018,1550,145.5,145.2,23.9,1176.3,17.7,10,53.8,240.9,208.1,271.9
8/31/2018,1550,154.6,154.3,20.9,1176.55,16.4,10,56.7,248.6,215.8,264.7
9/1/2018,1550,163.1,162.8,21.1,1176.75,15.1,10,60.5,259.8,226.4,262.9
9/2/2018,1550,162.1,161.8,20.5,1177,16.4,10,53,252,242.9,256.7
9/3/2018,1550,166,165.6,21.4,1177.25,16.4,10,56.7,260.5,229.3,252.6
9/4/2018,1550,164.3,163.8,21.5,1177.4,13.9,10,53,252.7,205.7,270.8
9/5/2018,1550,154.5,153.9,22,1177.6,15.1,10,45.4,237,195.7,320.6
9/6/2018,1550,144.5,143.8,20.6,1177.75,13.9,10,49.2,228.2,181.7,308
9/7/2018,1550,133.6,132.9,16.7,1177.85,12.6,10,45.4,208.3,348.3,294.8
9/8/2018,1549.17,136.8,160,15.4,1177.95,12.6,10,56.7,221.5,170.8,238.8
9/9/2018,1548.32,136.2,160,13.4,1178.05,12.6,10,49.4,211.6,162.6,234.4
9/10/2018,1546.94,130.9,170,12.2,1178,11.8,13.1,41.9,196.8,153.6,226.7
9/11/2018,1545.26,122.3,170,11.9,1178.1,14.6,12,38,186.8,159.7,212.4
9/12/2018,1543,115.5,180,11.7,1178.2,14.6,12,45.6,187.4,162.5,207.4
9/13/2018,1540.65,112.9,180,13.1,1178.25,13.3,12,38.6,177.9,155.7,206.2
9/14/2018,1538.18,111.6,180,13.7,1178.4,15.9,12,36.9,178.1,144.2,199.2
9/15/2018,1536.67,108.9,150,13.7,1178.6,17.1,12,37.8,177.5,138,198.1
9/16/2018,1534.87,100.9,150,13,1178.6,12,12,29.4,155.3,130.2,192.7
9/17/2018,1532.63,88.8,150,16.5,1178,12.6,28,20,137.9,124.2,196.4
9/18/2018,1529.98,77.5,150,13.7,1176.75,12.8,45,20,124,116.3,182.3
9/19/2018,1527.37,69.2,137.6,11.4,1175.5,12.8,45,20.5,113.9,110.1,180.5
9/20/2018,1524.85,64,130,10.9,1174.35,10.3,45,20,105.2,103,165.3
9/21/2018,1522.22,61.1,130,11,1172.9,12.8,45,20,104.9,100.7,160.1
9/22/2018,1519.4,58.3,130,11.2,1171.55,10.3,45,19.2,99,100.9,150
9/23/2018,1516.77,62.3,130,11.7,1170.2,10.3,45,20.1,104.4,100.6,166
9/24/2018,1513.98,59.9,130,12.9,1169.4,10.7,30,91.3,174.8,99.8,155.1
9/25/2018,1511.58,59.7,120,10.2,1169.15,9.1,15,55.6,134.6,102.3,141.6
9/26/2018,1509.41,61.1,115,11.3,1168.95,10.3,15,37.2,119.9,100,132.1
9/27/2018,1507.24,62.6,115,11.1,1168.7,9.1,15,29.8,112.6,98.3,126.5
9/28/2018,1505.32,58.8,105,10.7,1168.45,9.1,15,26.1,104.7,95.7,121.3
9/29/2018,1503.4,53.8,100,10.8,1168.2,9.1,15,24.2,97.9,93,122.4
9/30/2018,1501.5,54.3,100,10.4,1168,10.3,15,24.5,99.5,92.4,117.7
10/1/2018,1499.45,51.3,100,9.7,1167.75,9.1,15,20.5,90.6,90.3,113.2
10/2/2018,1497.25,49.9,100,7.4,1166.5,10.6,40,20.1,88,90.3,111.8
10/3/2018,1495,48.7,100,6.8,1165.15,8.2,40,18.5,82.2,92.4,108.7
10/4/2018,1493.27,45.8,85,7.2,1163.65,9.7,45,18,80.7,92.4,107.1
10/5/2018,1491.5,44.8,85,7.6,1162,6.2,45,19.3,77.9,91.4,105.6
10/6/2018,1489.85,42.7,80,7.6,1160.5,4.7,40,18.7,73.7,90.3,105.6
10/7/2018,1488.05,40.8,80,7.5,1159.9,8.1,22,17.6,74,83.3,103.3
10/8/2018,1486.37,43.4,80,8.2,1159.4,11.4,22,17.4,80.4,80.9,102.7
10/9/2018,1484.96,39.4,70,8,1158.7,7.1,22,16.1,70.6,78.7,100.7
10/10/2018,1483.96,37.9,60,8.7,1158.1,9.2,22,16.4,72.2,75.5,96.8
10/11/2018,1483.35,36.9,50,8.8,1157.65,10.4,20,15.8,71.9,71.4,91.2
10/12/2018,1482.76,37.2,50,8.6,1157.25,11.5,20,16,73.3,68.7,88.6
10/13/2018,1482.52,35.4,40,7.8,1156.8,10.4,20,15.8,69.4,68.3,85.1
10/14/2018,1482.45,33.9,35,7.3,1156.3,9.4,20,15.8,66.4,66.1,81.9
10/15/2018,1482.34,33.1,35,7,1155.75,8.3,20,14.5,62.9,59.1,81.4
10/16/2018,1482.16,31.5,35,6.5,1155.4,7.6,15,13.4,59,60,81.7
10/17/2018,1482.14,34.6,35,6.5,1155.15,9.7,15,13.2,64,57.9,78.9
10/18/2018,1482.17,35.7,35,6.6,1154.95,10.7,15,13.4,66.4,57.3,75.4
10/19/2018,1482,31.2,35,7,1155,11.1,10,12.9,62.2,54.2,74.9
10/20/2018,1482.02,30.4,30,6.8,1155.05,11.1,10,12.5,60.8,54.5,72.7
10/21/2018,1481.92,27.8,30,5.6,1155.45,8.6,0.1,12.2,54.2,52.4,74.1
10/22/2018,1481.85,28.8,30,5,1155.9,9.7,0.1,12.2,55.7,50.9,71.1
10/23/2018,1481.94,27.5,25,5.4,1156.3,8.6,0.1,10.4,51.9,52.6,70.3
10/24/2018,1482.05,28,25,5.1,1156.7,8.6,0.1,12.2,53.9,53.4,68.8
10/25/2018,1482.11,26.9,25,5.1,1157.05,7.6,0.1,12.2,51.8,48.5,68.1
10/26/2018,1482.16,26.6,25,5.2,1157.4,7.6,0.1,11,50.4,47.8,69.7
10/27/2018,1482.18,25.9,25,5,1157.1,8.6,15,11,50.5,48.7,72.2
10/28/2018,1482.18,25.5,25,4.8,1156.8,8.6,15,10.5,49.4,48.5,68.3
10/29/2018,1481.7,24.9,35,4.9,1156.45,7.6,15,10.2,47.6,48.7,64.9
10/30/2018,1480.77,24.9,45,4.3,1156.1,7.6,15,10.5,47.3,43.7,65
10/31/2018,1479.83,24.8,45,4.5,1155.5,7.2,20,11.9,48.4,44.1,64.1
11/1/2018,1478.65,23.4,48,4.3,1154.9,7.2,20,9.7,44.6,46.4,62.4
11/2/2018,1477.91,32.8,48,8.2,1154.1,8,25,9.6,58.6,47.5,61.5
11/3/2018,1477.26,31.7,45,25.8,1153.4,10.1,25,9.8,77.4,48.3,61.1
11/4/2018,1476.76,29.9,40,12.1,1153,16.5,25,13.7,72.2,46.6,61.1
11/5/2018,1476.16,27.9,40,10.4,1152.65,17.6,25,22,77.9,45.4,65.3
11/6/2018,1475.47,26,40,7.7,1152.15,9.4,20,16.2,59.3,47.2,64.9
11/7/2018,1474.75,26.4,41.1,7.4,1151.7,10.4,20,11.7,55.9,47.5,63.1
11/8/2018,1473.82,25.8,45,7,1151.1,12.2,25,11.7,56.7,46.4,61.9
11/9/2018,1472.43,26,55,6.3,1150.5,12.2,25,11,55.5,45.3,61.5
11/10/2018,1470.8,24.9,59,6.5,1149.9,12.5,25,13.5,57.4,45.1,61.5
11/11/2018,1469.08,23.3,59,6.2,1149.25,10.7,23,11.3,51.5,42.9,60.1
11/12/2018,1467.33,23.2,59,5.7,1148.8,14.5,23,11.2,54.6,42.3,58.9
11/13/2018,1465.52,21.9,59,6.2,1148.2,11.7,23,10.5,50.3,41.6,57.6
11/14/2018,1463.77,23.2,59,6,1147.6,11.7,23,10.6,51.5,41.2,59.5
11/15/2018,1461.97,22.1,59,5.9,1147,11.7,23,10.5,50.2,42.9,59.4
11/16/2018,1460.34,22.7,56,5.4,1146.45,12.6,23,10.5,51.2,47.3,58.4
11/17/2018,1458.64,22.1,56,5.8,1145.9,12.6,23,10.5,51,45.9,58.8
11/18/2018,1456.93,21.1,55,5,1145.35,12.6,23,10.5,49.2,48,56.9
11/19/2018,1455.21,20.9,55,4.5,1144.7,10.7,23,10.5,46.6,43.1,55.4
11/20/2018,1453.38,18.7,55,4.5,1144.05,10.7,23,10.5,44.4,43.2,53.9
11/21/2018,1451.55,18.7,55,4.5,1143.45,11.7,23,10.5,45.4,43.3,54.7
11/22/2018,1449.7,20.6,55,4.5,1142.8,10.7,23,10.5,46.3,41,53.4
11/23/2018,1447.7,30.9,55,4.6,1142.1,8.8,22,10.5,54.8,40,53.5
11/24/2018,1446,29.5,50,4.9,1141.45,9.7,22,9.8,53.9,40,53.4
11/25/2018,1444.2,28.5,50,3.9,1140.8,9.7,22,9.2,51.3,37.9,53.8
11/26/2018,1442.5,29.7,50,3.9,1140.15,9.7,22,9.2,52.5,39.8,52.5
11/27/2018,1440.64,27.7,50,4.1,1139.4,9.1,22,9.6,50.5,38,51.5
11/28/2018,1438.8,28.6,50,4,1138.6,9.6,23,9.6,51.8,37.2,50.8
11/29/2018,1436.85,27.7,50,4.3,1137.7,8.9,24,9.2,50.1,38.3,50.8
11/30/2018,1434.92,27.9,50,4.2,1136.75,8.1,24,8.4,48.6,38,51
12/1/2018,1432.94,27.3,50,4,1135.6,8.8,28,8.4,48.5,38.7,50.2
12/2/2018,1431.2,25.2,45,4.2,1134.45,8.8,28,8.8,47,34,49.4
12/3/2018,1429.47,25.2,45,3.7,1133.25,7.9,28,8.4,45.2,40.2,48.6
12/4/2018,1427.65,24.8,45,3.8,1132,7.1,28,8.1,43.8,41.8,48.3
12/5/2018,1426.14,23.6,40,4.3,1130.65,5.4,28,8.1,41.4,39.4,48.1
12/6/2018,1425,22.8,35,4.3,1129.25,6.4,28,7.8,41.3,38.4,48
12/7/2018,1424.25,20.2,28,4.2,1127.85,8,28,7.8,40.2,39.5,47.5
12/8/2018,1423.58,21.1,28,3.9,1126.65,8.9,26,7.8,41.7,39.3,46.4
12/9/2018,1422.87,20.6,28,3.5,1125.45,8.9,26,8.1,41.1,37.5,46
12/10/2018,1422.26,20.7,26.9,4.1,1124.2,8.2,26,9.8,42.8,36,46.8
12/11/2018,1421.88,21.4,25,4.5,1123.15,8,23,7.8,41.7,37,49.2
12/12/2018,1421.42,20.5,25,5.1,1122.15,8.7,23,7.8,42.1,42.6,49.3
12/13/2018,1421.04,19.4,23,5.1,1121.1,8,23,7.8,40.3,57.9,46.1
12/14/2018,1420.29,20.1,28,5.3,1120.05,8,23,12.9,46.3,50.2,46
12/15/2018,1419.21,19.9,28,4.9,1119.05,9.4,21,8.8,43,43.8,46.4
12/16/2018,1418.74,20.1,28,4.5,1118,9,21,7.5,41.1,42.5,45.8
12/17/2018,1417.92,19.6,28,4.4,1117,9.6,21,7.1,40.7,40.2,45.4
12/18/2018,1417.43,18.2,23,4.7,1115.85,7.9,21,7.1,37.9,36.7,43.8
12/19/2018,1416.97,18.5,23,4.6,1114.7,7.9,21,7.1,38.1,37.2,43.1
12/20/2018,1416.67,17.3,20,4.3,1113.5,8.1,21,7.1,36.8,34.4,43.3
12/21/2018,1416.4,17.6,20,4.4,1112.25,7.2,21,6,35.2,35.5,49.3
12/22/2018,1416.5,16.7,15,4.5,1110.85,5.6,21,5.5,32.3,36.9,48.1
12/23/2018,1416.72,18,15,4.7,1109.45,6.8,21,6.2,35.7,34.3,45.2
12/24/2018,1417.28,16.8,10,4.3,1108.05,8.7,21,6.2,36,34.5,44.6
12/25/2018,1417.76,16,10,4.4,1108.2,5.3,5,6.2,31.9,31.5,43.3
12/26/2018,1418.24,16,10,4.3,1108.5,6.8,5,6.3,33.4,34.1,41.1
12/27/2018,1418.73,16.1,10,4.5,1108.75,6.6,5,9.3,36.5,33.5,41.8
12/28/2018,1419.18,15.6,10,4.4,1109,6.7,5,9.3,36,31.4,40.8
12/29/2018,1419.6,15.2,10,4.4,1109.15,6.1,5,7.2,32.9,31.4,41.5
12/30/2018,1420.02,15.2,10,4.2,1109.25,6,5,7.2,32.6,32.1,42.2
12/31/2018,1420.43,15.3,10,4.2,1109.4,6.4,5,7.2,33.1,31.1,42
1/1/2019,1421.21,14.5,5.1,4.1,1109.5,6,5,7.2,31.8,30.5,40.4
1/2/2019,1422.05,15.1,5,4.1,1109.65,6.4,5,6.2,31.8,30.3,41.3
1/3/2019,1422.86,14.8,5,3.8,1109.75,6,5,6.2,30.8,27.9,41.1
1/4/2019,1423.65,14.6,5,4.2,1109.85,6,5,6.2,31,28,40.8
1/5/2019,1424.5,14.2,3.7,4.2,1109.95,5.9,5,6.2,30.5,28.3,41.2
1/6/2019,1425.39,14,3,4.3,1110.1,6.5,5,6.2,31,28.9,41.7
1/7/2019,1426.34,14.2,2.5,4.8,1110.2,6.1,5,6.3,31.4,30.3,42.1
1/8/2019,1427.2,13.7,3,5.1,1110.35,6.6,5,6.6,32,28.9,42.3
1/9/2019,1428.07,13.7,3,4.4,1110.45,6.1,5,6.6,30.8,27.5,42.4
1/10/2019,1428.92,13.5,3,4.6,1110.55,6.1,5,6.6,30.8,27.4,43.4
1/11/2019,1429.74,13.2,3,4.4,1111.15,6.4,0.1,6.6,30.6,26.9,46.6
1/12/2019,1430.62,14.2,3,4.6,1111.7,6.1,0.1,6.6,31.5,27.8,43.5
1/13/2019,1431.52,14.5,3,5.4,1112.3,6.8,0.1,6.6,33.3,28.2,41.9
1/14/2019,1432.43,13.7,3,6,1112.95,7.3,0.1,6.3,33.3,27.3,42.2
1/15/2019,1433.29,13.1,3,6.7,1113.5,6.5,0.1,6.3,32.6,32,41
1/16/2019,1433.45,14.9,13,6.4,1114.05,6.7,0.1,6.3,34.3,30.4,42
1/17/2019,1433.45,15,15,6.4,1114.55,6.1,0.1,6.3,33.8,30.4,44.1
1/18/2019,1433.5,15.6,15,6.2,1115.1,6.5,0.1,6.3,34.6,29.4,48.2
1/19/2019,1433.54,15.5,15,6.3,1115.7,7,0.1,6.3,35.1,31.2,53.7
1/20/2019,1433.56,15.2,15,6.1,1116.3,7,0.1,6.3,34.6,31.1,48.6
1/21/2019,1433.56,15,15,6.1,1116.95,7.6,0.1,6.3,35,33.3,45.7
1/22/2019,1433.68,21.4,20,6.2,1117.7,8.5,0.1,10.6,46.7,32.8,43.9
1/23/2019,1433.82,21.7,20,7.4,1119.2,17.1,0.1,35.8,82,33.2,45.3
1/24/2019,1434.07,18.1,15,7.4,1120.2,12,0.1,20.5,58,33.8,44.9
1/25/2019,1434.25,17.2,15,7.8,1121,11.2,0.1,12.4,48.6,33.4,44.7
1/26/2019,1434.35,16.2,15,8,1121.8,11.3,0.1,12.4,47.9,31.8,45.8
1/27/2019,1434.41,15.7,15,7.5,1122.6,11.7,0.1,11.8,46.7,30.3,52.4
1/28/2019,1434.46,15.6,15,7.3,1123.3,10.5,0.1,10.4,43.8,30.3,47.8
1/29/2019,1434.5,15.5,15,6.7,1124,10.2,0.1,10.4,42.8,30.9,45.4
1/30/2019,1434.5,15,15,6.9,1124.6,8.9,0.1,10.4,41.2,29.5,45.3
1/31/2019,1434.5,15,15,6.7,1124.6,11,10,9.3,42,29.6,46.1
2/1/2019,1434.55,15.6,15,7.5,1124.7,10.8,10,10.2,44.1,30.9,44.3
2/2/2019,1434.34,17.4,20,7.9,1124.8,11.9,10,11.4,48.6,31.3,44.1
2/3/2019,1433.86,17.1,23,8.8,1124.95,12,10,11.9,49.8,31.7,44.2
2/4/2019,1433.26,17.6,25,8.7,1124.8,8.1,10,11.5,45.9,31,47.2
2/5/2019,1432.6,16.8,25,7.5,1124.8,9.7,10,15.4,49.4,32,54.8
2/6/2019,1431.98,17.3,25,6.5,1125.1,8.9,5,11.5,44.2,32.5,75.3
2/7/2019,1431.46,18.6,25,8,1125.45,9.7,5,12.6,48.9,34.7,60.1
2/8/2019,1430.61,19.5,30,9.5,1125.6,17.3,15,67.7,114,33.4,65.9
2/9/2019,1429.44,19.8,34,9.7,1125.6,15.3,15,29.4,74.2,34.5,78.3
2/10/2019,1428.18,19,34,8,1125.6,15,15,19.5,61.5,35,72.6
2/11/2019,1426.85,18.2,34,8,1125.15,14,20,14.8,55,35.1,56.7
2/12/2019,1425.49,17.8,34,8.6,1124.7,13.7,20,13.8,53.9,36.1,55.9
2/13/2019,1423.77,17.5,38,8.4,1123.7,13.9,27.5,13.8,53.6,41.4,57
2/14/2019,1422.13,18.5,38,8,1122.7,14.1,28,12.1,52.7,46.4,62.5
2/15/2019,1420.71,21.1,38,9.6,1121.8,15.2,28,14.8,60.7,43.3,71.8
2/16/2019,1419,22.1,42,13.2,1121.3,17.2,25,25.2,77.7,38.8,62.9
2/17/2019,1417.09,20,42,17.8,1120.7,15.9,25,19.6,73.3,36.7,60.1
2/18/2019,1415.05,18.6,42,10.8,1120.15,17,25,17.5,63.9,33.6,57.8
2/19/2019,1413.01,18.6,42,9.9,1119.6,18.5,25,17.5,64.5,32.1,56.5
2/20/2019,1411.04,19.4,42,10,1119,18.1,25,14.6,62.1,32,62.5
2/21/2019,1408.9,17.8,42,10.2,1118.45,18.8,25,15,61.8,30.7,67
2/22/2019,1406.96,23.4,45,11,1120.1,43.3,25,93.8,171.5,28.8,62.7
2/23/2019,1405.18,20.2,40,12.4,1122,40.3,15,29.7,102.6,31.1,65.7
2/24/2019,1403.78,19.4,35,11.1,1123,30.5,15,26.8,87.8,34.1,66.4
2/25/2019,1402.14,16.7,35,10.1,1123.7,25.5,15,19,71.3,42.1,66.6
2/26/2019,1401,17.3,30,9.8,1124.05,25.9,20,20.6,73.6,47.2,75.5
2/27/2019,1399.66,17.3,30,9.8,1124.15,22.2,20,19,68.3,47.4,70.9
2/28/2019,1398.83,21.3,25,9.7,1124.35,21.5,20,14,66.5,44,70.1
3/1/2019,1397.96,21.1,25,9.6,1124,20.2,25,14,64.9,41.7,71.5
3/2/2019,1396.94,20.5,25,8.9,1123.7,20.9,25,15.6,65.9,39.1,68.2
3/3/2019,1396.13,21.4,25,8.9,1123.45,21.5,25,15.7,67.5,50.5,79.5
3/4/2019,1395.59,22.6,25,11.7,1123.45,24.8,25,17.3,76.4,68.1,75.3
3/5/2019,1395.5,19.6,20,11.7,1123.9,23.3,17,17.3,71.9,62.5,74.5
3/6/2019,1395.37,19.4,20,10.6,1124.3,22.5,17,17.3,69.8,56.3,76.9
3/7/2019,1395.13,18.9,20,10.1,1124.35,20.8,20,17.3,67.1,47.3,75.1
3/8/2019,1394.87,18.8,20,9.1,1124.4,20.7,20,17.3,65.9,40.4,71.7
3/9/2019,1394.59,18.8,0,8.9,1124.5,21.4,20,15.7,64.8,38.4,72.4
3/10/2019,1394.14,18,20,7.7,1124.4,18.6,20,16.3,60.6,37.8,71.3
3/11/2019,1393.69,18,20,6.4,1124.35,19.1,20,16.3,59.8,34.6,76.5
3/12/2019,1393.71,20.1,20,9,1124.6,21.5,18,13.1,63.7,33.6,90.3
3/13/2019,1393.98,21.2,20,13.2,1125.65,32.9,18,15.3,82.6,33,86.5
3/14/2019,1393.85,19.4,20,14.4,1126.15,25.2,18,15.4,74.4,35.1,88.5
3/15/2019,1393.67,19.6,20,12.2,1126.55,23.6,18,15.3,70.7,53.1,83.4
3/16/2019,1393.35,19,20,11.2,1126.7,22.1,20,15.3,67.6,70.2,85.9
3/17/2019,1393,18.8,20,8,1126.8,21.9,20,15.3,64,69.2,93.1
3/18/2019,1392.65,18.8,20,11.2,1126.95,22.1,20,10.1,62.2,51.6,94.3
3/19/2019,1392.34,18.7,20,9.5,1125.35,23.8,45,13,65,47.2,105.2
3/20/2019,1392.23,19.5,20,12,1123.9,23.9,45,14.1,69.5,44.6,101.8
3/21/2019,1392.47,21.2,20,15.2,1122.75,28.5,45,21.8,86.7,43.6,99.3
3/22/2019,1392,20.2,21.9,18.3,1121.75,30.7,45,15.5,84.7,44.2,95.2
3/23/2019,1392.54,17.8,15,17.3,1120.54,27,45,15.8,77.9,42.5,89.2
3/24/2019,1392.95,17.2,15,17,1119,27.2,45,15.5,76.9,42.2,97.8
3/25/2019,1393.42,17.5,15,13.9,1117.25,25.3,45,15.5,72.2,41.9,113.8
3/26/2019,1393.21,19.5,20,12.7,1115,25.1,50,15.5,72.8,41.8,118.5
3/27/2019,1393.09,19.9,20,10.6,1113.2,29.4,50,15.8,75.7,45.2,137.5
3/28/2019,1393,20,20,12.4,1111.6,32.1,50,15.8,80.3,42.2,107
3/29/2019,1393.14,21,20,13.7,1110.2,29.4,45,15.5,79.6,45.5,106
3/30/2019,1393.12,25.3,25,17.7,1109.25,35.8,45,18.7,97.5,45.1,128.9
3/31/2019,1393.63,27.7,25,27.5,1108.9,41.7,45,28.1,125,46.7,119.8
4/1/2019,1394.61,24.7,20,28.8,1109.35,42.7,40,28.6,124.8,44.4,111.9
4/2/2019,1395.2,23,20,23.8,1109.95,40.1,35.8,22.3,109.2,50.3,117.6
4/3/2019,1395.71,22.7,20,21.5,1110.55,40.9,35,25.5,110.6,58.4,130.2
4/4/2019,1396.21,22.6,20,23.1,1111.25,42,34.8,31.8,119.5,69.2,157.2
4/5/2019,1396.96,23.7,20,25.9,1112.55,43.7,30,25.5,118.8,84.7,146
4/6/2019,1398.69,23.1,15,32.5,1114.9,49.6,25,31.8,137,75.4,133.4
4/7/2019,1400.47,26.4,15,46.2,1117.15,49.7,25,25.5,147.8,73.7,143.1
4/8/2019,1402.12,33.8,15,44.6,1119.5,52.3,25,25.5,156.2,70.1,136.6
4/9/2019,1403.81,34.2,15,41.8,1121.65,54.7,25,31.3,162,80,125.9
4/10/2019,1405.6,35.6,15,37.7,1123.8,52.6,22,30.5,156.4,92.6,124.9
4/11/2019,1406.71,38.1,25,42.4,1126.6,60,20,33.6,174.1,117.8,124.1
4/12/2019,1407.88,38.7,25,52.7,1129.5,62.9,20,31,185.3,111.5,126.4
4/13/2019,1408.84,36.4,25,47.7,1131.85,61.8,20,31,176.9,104.7,127.9
4/14/2019,1409.94,38,25,51.2,1134,61,25,31,181.2,94.4,126.8
4/15/2019,1410.91,36.8,25,60.4,1136.2,61.8,25,31,190,81.8,125
4/16/2019,1411.67,34.3,25,55.2,1138.05,56,25,24.7,170.2,75.7,131.6
4/17/2019,1412.67,36.8,25,57.8,1140,52.6,20,31,178.2,66.3,140.6
4/18/2019,1415.13,43.3,15,121.4,1142.5,62.2,15,36.2,263.1,89.9,155
4/19/2019,1417.23,39.1,15,109.6,1144.9,60.3,15,29.9,238.9,113.2,158.8
4/20/2019,1418.91,34.3,15,86.9,1146.9,52.8,15,29.9,203.9,116.5,158.2
4/21/2019,1420.55,34.1,15,69.3,1148.9,52.8,15,26.5,182.7,141.4,162.1
4/22/2019,1422.2,35,15,73.2,1150.85,53.8,15,26.5,188.5,145.1,168.2
4/23/2019,1423.87,35.5,15,70.8,1152.85,57.5,15,26.5,190.3,127.2,164.3
4/24/2019,1425.68,37.3,15,75.4,1154.8,56.5,15,34.6,203.8,109.3,153.2
4/25/2019,1427.97,42.5,15,76.3,1156.95,60.7,15,42.1,221.6,97.5,149.3
4/26/2019,1430.02,44.7,20,84.2,1156.9,61.5,20,38.8,229.2,98.1,146.8
4/27/2019,1431.98,44.7,20,87.8,1161.05,68.3,20,35.4,236.2,106.8,153.5
4/28/2019,1433.65,41.1,20,71.4,1162.95,64.7,20,32.1,209.3,107.7,155.5
4/29/2019,1434.12,41.3,35,64,1164.35,58.9,26,32.1,196.3,108.2,155.1
4/30/2019,1433.82,41.8,45,59.8,1165.3,57.3,35,32.1,191,112.6,159.7
5/1/2019,1432.78,42.7,55,54.4,1165.8,51.8,40,32.1,181,113.2,162.7
5/2/2019,1431.36,43,60,52.5,1166.35,52.9,40,29.7,178.1,116.6,162.1
5/3/2019,1429.91,42.6,60,48.5,1166.8,50.6,40,30.7,172.4,118.1,160.9
5/4/2019,1427.84,40.9,65,43.7,1167.15,48.2,40,28.7,161.5,128.2,166.2
5/5/2019,1425.54,38.4,65,36.4,1167.35,44.7,40,22.5,142,118.2,172.9
5/6/2019,1423.12,37,65,34.3,1167.45,42.4,40,23,136.7,103.9,180
